tag,variant,tier,target,n_anomaly,n_total,detector,accuracy,fpr,precision,recall,f1,latency_s,auc_roc,auc_pr,event_detected,threshold,tp,tn,fp,fn
ecg_powerline_noise,1,medium,signal,5700,15000,LOF,0.7473,0.4056,0.601,0.9967,0.7498,0.058,0.9484,0.8215,True,1.472817,5681,5528,3772,19
ecg_powerline_noise,2,medium,signal,5700,15000,ZScore,0.8627,0.2146,0.7385,0.9888,0.8455,0.7,0.9904,0.9855,True,2081314285.714151,5636,7304,1996,64
ecg_powerline_noise,2,medium,signal,5700,15000,RobustRollingZScore,0.6186,0.0168,0.4639,0.0237,0.0451,0.7,0.4173,0.3619,True,1099520.796612,135,9144,156,5565
ecg_powerline_noise,2,medium,signal,5700,15000,IsolationForest,0.9297,0.1066,0.8505,0.9888,0.9144,0.642,0.9712,0.8868,True,0.559547,5636,8309,991,64
ecg_powerline_noise,2,medium,signal,5700,15000,Autoencoder,0.8475,0.2434,0.7149,0.996,0.8323,0.447,0.9857,0.9256,True,0.574157,5677,7036,2264,23
ecg_powerline_noise,2,medium,signal,5700,15000,LOF,0.7776,0.3573,0.6312,0.9977,0.7732,0.156,0.947,0.8192,True,1.472817,5687,5977,3323,13
ecg_powerline_noise,1,hard,signal,9300,15000,ZScore,0.8519,0.2118,0.8728,0.8909,0.8818,0.992,0.9386,0.965,True,2081314285.714151,8285,4493,1207,1015
ecg_powerline_noise,1,hard,signal,9300,15000,RobustRollingZScore,0.4569,0.0198,0.9181,0.1362,0.2373,0.992,0.5218,0.6932,True,1099520.796612,1267,5587,113,8033
ecg_powerline_noise,1,hard,signal,9300,15000,IsolationForest,0.8853,0.0386,0.9726,0.8387,0.9007,0.311,0.9778,0.9664,True,0.559547,7800,5480,220,1500
ecg_powerline_noise,1,hard,signal,9300,15000,Autoencoder,0.9629,0.09,0.9475,0.9953,0.9708,0.311,0.9929,0.9901,True,0.574157,9256,5187,513,44
ecg_powerline_noise,1,hard,signal,9300,15000,LOF,0.9722,0.0661,0.9609,0.9957,0.978,0.019,0.9949,0.9954,True,1.472817,9260,5323,377,40
ecg_powerline_noise,2,hard,signal,9300,15000,ZScore,0.8887,0.1902,0.8894,0.937,0.9126,0.0,0.9573,0.9777,True,2081314285.714151,8714,4616,1084,586
ecg_powerline_noise,2,hard,signal,9300,15000,RobustRollingZScore,0.4547,0.0189,0.9192,0.1322,0.2311,2.761,0.5094,0.6917,True,1099520.796612,1229,5592,108,8071
ecg_powerline_noise,2,hard,signal,9300,15000,IsolationForest,0.8509,0.1435,0.906,0.8475,0.8758,0.486,0.9302,0.9081,True,0.559547,7882,4882,818,1418
ecg_powerline_noise,2,hard,signal,9300,15000,Autoencoder,0.8917,0.2828,0.8521,0.9986,0.9196,0.214,0.9613,0.9339,True,0.574157,9287,4088,1612,13
ecg_powerline_noise,2,hard,signal,9300,15000,LOF,0.8643,0.3528,0.8218,0.9973,0.9011,0.253,0.8732,0.8298,True,1.472817,9275,3689,2011,25
